,index,Longitude,Latitude,geometry,Severity,Number Of Casualties,Day,Road Type,Speed Limit,Junction Detail,Junction Control,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Year,Month,Hour,index_right,dis
157,158,-0.14195,51.555198,POINT (528911.8186680666 185670.4008256434),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,4 roadworks,0 none,2017,6,19,1462.0,19.612738103249896
158,159,-0.198159,51.541866,POINT (525051.7672568714 184090.3249949922),3 slight,1,Monday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,4 pelican or similar,2 dark,1 fine,1 road-dry,0 none,2 other object in cwy,2018,3,23,1789.0,14.236453164615304
160,161,-0.130398,51.520303,POINT (529811.8014136866 181810.3451955119),3 slight,1,Thursday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,2,18,769.0,7.96428361679995
161,162,-0.139446,51.552937,POINT (529091.7984497775 185423.3803866301),3 slight,1,Monday,6 single cwy,2 30 mph,6 crossroads,3 stop sign,8 central refuge,2 dark,1 fine,1 road-dry,0 none,0 none,2019,11,23,545.0,5.174291993017767
162,163,-0.109573,51.521947,POINT (531251.8238944071 182030.2819040238),3 slight,1,Sunday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,2 raining,2 road-wet,0 none,0 none,2016,1,10,136.0,10.31242635075185
163,164,-0.126602,51.546051,POINT (530001.8341032297 184680.3570190533),3 slight,1,Monday,2 one-way st,1 <= 20 mph,3 t/stag jun,9 unknown (s/r),1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,6,17,2281.0,18.407896427958807
165,166,-0.140153,51.535251,POINT (529092.7887466395 183455.3759874247),3 slight,1,Sunday,2 one-way st,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,9,17,1944.0,9.797500268306184
167,168,-0.138274,51.525104,POINT (529251.8151161143 182330.3038762627),3 slight,1,Thursday,3 dual cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,5,8,833.0,7.916063734267216
169,170,-0.135618,51.537202,POINT (529401.7754990369 183680.3402154205),3 slight,1,Friday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,5,15,518.0,2.851116877804799
170,171,-0.141253,51.547885,POINT (528980.8026084052 184858.3909970148),2 serious,1,Thursday,3 dual cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,4 pelican or similar,1 daylight,5 raining/high winds,2 road-wet,0 none,0 none,2019,12,14,577.0,16.61455021008937
171,172,-0.12614,51.529227,POINT (530081.7885007217 182810.2829102106),3 slight,1,Tuesday,3 dual cwy,2 30 mph,6 crossroads,2 auto sig,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,4,17,44.0,11.987264803005615
