,index,Longitude,Latitude,geometry,Severity,Number Of Casualties,Day,Road Type,Speed Limit,Junction Detail,Junction Control,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Year,Month,Hour
102,102,-0.1492,51.543622,POINT (528441.8012574837 184370.355451947),2 serious,1,Friday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,2,14
103,103,-0.198156,51.541956,POINT (525051.7287770925 184100.3385685193),3 slight,1,Tuesday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,4 pelican or similar,2 dark,1 fine,1 road-dry,0 none,0 none,2017,1,0
104,104,-0.12064,51.519247,POINT (530491.7843307591 181710.2556360487),2 serious,1,Friday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2016,2,23
105,105,-0.142757,51.538934,POINT (528901.7961692701 183860.3530687818),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,2 dark,2 raining,2 road-wet,0 none,0 none,2016,6,1
106,106,-0.145169,51.536364,POINT (528741.7761319201 183570.3146883003),3 slight,1,Thursday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,9 unknown (s/r),1 daylight,1 fine,9 unknown (s/r),0 none,0 none,2017,5,15
107,107,-0.166135,51.542089,POINT (527271.7951056368 184170.3049576263),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,2 mini,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,2 raining,2 road-wet,0 none,0 none,2017,6,16
108,108,-0.129385,51.548523,POINT (529801.8408513883 184950.3153772998),3 slight,1,Friday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,9 unknown (s/r),1 daylight,2 raining,2 road-wet,0 none,0 none,2017,5,17
109,109,-0.122615,51.53079,POINT (530321.8296613944 182990.3621391603),3 slight,1,Friday,6 single cwy,2 30 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2015,7,0
110,110,-0.178258,51.557035,POINT (526389.7576788756 185811.3688649083),3 slight,1,Saturday,9 unknown,1 <= 20 mph,0 no jun in 20m,-2 not applicable,9 unknown (s/r),1 daylight,1 fine,1 road-dry,0 none,0 none,2019,7,15
111,111,-0.136622,51.544025,POINT (529312.8216683351 184437.3119575523),3 slight,1,Wednesday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,9,19
112,112,-0.128355,51.513885,POINT (529971.7897562007 181100.2637659319),2 serious,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2017,12,8
113,113,-0.143031,51.539298,POINT (528881.7675039432 183900.3490407763),3 slight,1,Wednesday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,2 dark,1 fine,1 road-dry,4 roadworks,0 none,2016,6,0
114,114,-0.164789,51.554028,POINT (527331.8207961688 185500.3177520842),3 slight,1,Friday,2 one-way st,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,4,16
115,115,-0.174164,51.542916,POINT (526712.7460413066 184248.3449168816),3 slight,1,Wednesday,2 one-way st,2 30 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,9 unknown (s/r),9 unknown (s/r),2019,4,9
116,116,-0.183818,51.550727,POINT (526021.755441124 185100.3024531868),3 slight,1,Monday,3 dual cwy,2 30 mph,3 t/stag jun,2 auto sig,0 no xing facility in 50m,1 daylight,2 raining,2 road-wet,0 none,0 none,2017,1,8
117,117,-0.119652,51.516291,POINT (530568.7755441028 181383.29901879),3 slight,1,Friday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,2 road-wet,0 none,0 none,2019,4,8
118,118,-0.196201,51.558562,POINT (525141.7563421291 185950.3515164551),3 slight,1,Friday,3 dual cwy,2 30 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,1,11
119,119,-0.179881,51.562627,POINT (526261.7751974126 186430.4264859194),3 slight,1,Sunday,6 single cwy,2 30 mph,1 roundabout,4 give way/uncontrolled,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2016,6,9
120,120,-0.137552,51.542808,POINT (529251.7814513249 184300.3342552782),3 slight,1,Friday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,11,8
121,121,-0.126527,51.523298,POINT (530071.8271967889 182150.2686308951),3 slight,1,Friday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,5,9
122,122,-0.174884,51.543305,POINT (526661.7408113541 184290.3576981504),2 serious,1,Sunday,3 dual cwy,2 30 mph,7 multi jun,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2018,9,22
123,123,-0.119658,51.518944,POINT (530560.7785032754 181678.3111471952),3 slight,1,Monday,7 slip rd,2 30 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,5,14
124,124,-0.136804,51.539919,POINT (529311.8313723807 183980.3863220211),3 slight,1,Monday,2 one-way st,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,6,11
125,125,-0.125833,51.522658,POINT (530121.793576722 182080.3311631199),3 slight,4,Friday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2015,12,7
126,126,-0.12894,51.524236,POINT (529901.76759479 182250.294640608),2 serious,1,Wednesday,6 single cwy,2 30 mph,3 t/stag jun,2 auto sig,4 pelican or similar,2 dark,2 raining,2 road-wet,0 none,0 none,2017,2,17
127,127,-0.126697,51.515657,POINT (530081.7864953767 181300.2599189344),3 slight,1,Tuesday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,3,6
128,128,-0.191518,51.549318,POINT (525491.789444103 184930.3877516562),3 slight,2,Sunday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2016,10,19
129,129,-0.192299,51.53692,POINT (525471.7102768624 183550.3304975866),3 slight,1,Wednesday,6 single cwy,2 30 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,2,18
130,130,-0.152663,51.568496,POINT (528131.8107041677 187130.3891450707),3 slight,1,Monday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2015,7,20
131,131,-0.126735,51.528787,POINT (530041.7708299586 182760.2964442094),3 slight,1,Friday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,5,8
132,132,-0.135181,51.521431,POINT (529476.7809826698 181927.3159422824),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,2 dark,1 fine,2 road-wet,0 none,0 none,2019,9,21
133,133,-0.175266,51.555361,POINT (526601.8079212494 185630.3820583675),2 serious,1,Friday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2017,1,16
134,134,-0.175846,51.549516,POINT (526577.8109464346 184979.3866762161),3 slight,1,Friday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2019,11,20
135,135,-0.192435,51.537102,POINT (525461.7785068722 183570.3367412928),2 serious,1,Saturday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2017,11,4
136,136,-0.131422,51.526973,POINT (529721.8194469651 182550.2596369008),3 slight,1,Saturday,3 dual cwy,2 30 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2016,5,3
137,137,-0.141698,51.543683,POINT (528961.8198469249 184390.3267252792),1 fatal,1,Saturday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,8 central refuge,2 dark,9 unknown,1 road-dry,0 none,0 none,2016,5,20
138,138,-0.191569,51.549849,POINT (525486.7936238885 184989.3502070981),3 slight,1,Tuesday,9 unknown,1 <= 20 mph,6 crossroads,9 unknown (s/r),9 unknown (s/r),1 daylight,1 fine,1 road-dry,0 none,0 none,2019,12,18
139,139,-0.146567,51.556611,POINT (528587.7740027567 185819.4120968005),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,5,16
140,140,-0.142795,51.523827,POINT (528941.8048513804 182180.3267070028),2 serious,1,Thursday,3 dual cwy,3 40 mph,5 slip road,4 give way/uncontrolled,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,9 unknown (s/r),0 none,2016,9,17
141,141,-0.119606,51.516353,POINT (530571.7899371416 181390.2756412374),2 serious,1,Wednesday,6 single cwy,2 30 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,1 traf sig out,0 none,2018,11,9
142,142,-0.137055,51.540498,POINT (529292.7859103223 184044.3302264218),3 slight,1,Tuesday,2 one-way st,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,5,7
143,143,-0.134678,51.530919,POINT (529484.7782904136 182983.3073592953),3 slight,1,Friday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,3,14
144,144,-0.146401,51.536563,POINT (528655.7745973724 183590.2788450686),3 slight,1,Monday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,1,9
145,145,-0.137631,51.542621,POINT (529246.8328899374 184279.3996126571),3 slight,1,Saturday,6 single cwy,2 30 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2018,6,22
146,146,-0.129955,51.520565,POINT (529841.7902435213 181840.2658749181),3 slight,1,Monday,2 one-way st,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,9,14
147,147,-0.120159,51.53093,POINT (530491.7768326753 183010.3045808573),3 slight,1,Thursday,9 unknown,2 30 mph,0 no jun in 20m,-2 not applicable,9 unknown (s/r),1 daylight,9 unknown,9 unknown (s/r),9 unknown (s/r),9 unknown (s/r),2017,7,18
148,148,-0.127196,51.521061,POINT (530031.7847978227 181900.3180087821),3 slight,1,Tuesday,1 roundabout,2 30 mph,1 roundabout,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,2 road-wet,0 none,0 none,2015,11,10
149,149,-0.182408,51.549896,POINT (526121.8067716218 185010.3193024251),3 slight,1,Saturday,3 dual cwy,3 40 mph,3 t/stag jun,4 give way/uncontrolled,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,9,10
150,150,-0.141226,51.544665,POINT (528991.7735864595 184500.3608036738),3 slight,1,Monday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,4 roadworks,0 none,2016,1,16
151,151,-0.195917,51.540213,POINT (525211.7683431078 183910.3347923571),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,12,13
152,152,-0.130177,51.520434,POINT (529826.7611855734 181825.304625851),3 slight,4,Tuesday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,4 pelican or similar,1 daylight,1 fine,1 road-dry,4 roadworks,0 none,2019,7,10
153,153,-0.129231,51.524151,POINT (529881.8226968376 182240.3261760192),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,4 pelican or similar,2 dark,1 fine,2 road-wet,0 none,0 none,2016,6,17
154,154,-0.139433,51.539816,POINT (529129.812402188 183964.2923419714),3 slight,1,Monday,2 one-way st,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,1 traf sig out,0 none,2019,7,8
155,155,-0.141191,51.541967,POINT (529001.8241837934 184200.3934765525),3 slight,1,Saturday,2 one-way st,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,2 raining,2 road-wet,0 none,0 none,2017,7,14
156,157,-0.176977,51.545046,POINT (526511.785162734 184480.3463554807),3 slight,1,Thursday,3 dual cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,1,10
157,158,-0.14195,51.555198,POINT (528911.8186680666 185670.4008256434),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,4 roadworks,0 none,2017,6,19
158,159,-0.198159,51.541866,POINT (525051.7672568714 184090.3249949922),3 slight,1,Monday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,4 pelican or similar,2 dark,1 fine,1 road-dry,0 none,2 other object in cwy,2018,3,23
159,160,-0.12822,51.527732,POINT (529941.7685161782 182640.3403360457),3 slight,1,Tuesday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,11,15
160,161,-0.130398,51.520303,POINT (529811.8014136866 181810.3451955119),3 slight,1,Thursday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,2,18
161,162,-0.139446,51.552937,POINT (529091.7984497775 185423.3803866301),3 slight,1,Monday,6 single cwy,2 30 mph,6 crossroads,3 stop sign,8 central refuge,2 dark,1 fine,1 road-dry,0 none,0 none,2019,11,23
162,163,-0.109573,51.521947,POINT (531251.8238944071 182030.2819040238),3 slight,1,Sunday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,2 raining,2 road-wet,0 none,0 none,2016,1,10
163,164,-0.126602,51.546051,POINT (530001.8341032297 184680.3570190533),3 slight,1,Monday,2 one-way st,1 <= 20 mph,3 t/stag jun,9 unknown (s/r),1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,6,17
164,165,-0.177827,51.541822,POINT (526461.7779298321 184120.3538264135),3 slight,1,Monday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,1 zebra,1 daylight,2 raining,2 road-wet,0 none,0 none,2018,9,9
165,166,-0.140153,51.535251,POINT (529092.7887466395 183455.3759874247),3 slight,1,Sunday,2 one-way st,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,9,17
166,167,-0.122214,51.530729,POINT (530349.816962828 182984.2924664179),3 slight,1,Sunday,2 one-way st,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,6,15
167,168,-0.138274,51.525104,POINT (529251.8151161143 182330.3038762627),3 slight,1,Thursday,3 dual cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,5,8
168,169,-0.127949,51.516756,POINT (529991.7930035512 181420.2497201912),2 serious,2,Thursday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,4,10
169,170,-0.135618,51.537202,POINT (529401.7754990369 183680.3402154205),3 slight,1,Friday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,5,15
170,171,-0.141253,51.547885,POINT (528980.8026084052 184858.3909970148),2 serious,1,Thursday,3 dual cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,4 pelican or similar,1 daylight,5 raining/high winds,2 road-wet,0 none,0 none,2019,12,14
171,172,-0.12614,51.529227,POINT (530081.7885007217 182810.2829102106),3 slight,1,Tuesday,3 dual cwy,2 30 mph,6 crossroads,2 auto sig,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,4,17
172,173,-0.139629,51.555521,POINT (529071.8029070924 185710.4098248587),3 slight,1,Sunday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2018,4,18
173,174,-0.105284,51.518668,POINT (531558.8058864258 181673.3419039918),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,6 crossroads,9 unknown (s/r),9 unknown (s/r),1 daylight,1 fine,1 road-dry,4 roadworks,9 unknown (s/r),2019,3,13
174,175,-0.138278,51.525014,POINT (529251.7922892828 182320.28846808),3 slight,1,Wednesday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,4,16
175,176,-0.143963,51.558917,POINT (528761.7770167834 186080.4272582326),3 slight,1,Friday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,5,8
176,177,-0.16238,51.545807,POINT (527521.7910801366 184590.2974480437),2 serious,3,Tuesday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,5,7
177,178,-0.125334,51.531283,POINT (530131.8361246119 183040.3499775181),3 slight,1,Monday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,2 raining,2 road-wet,0 none,0 none,2017,9,16
178,179,-0.165918,51.551079,POINT (527261.7764165686 185170.4118033215),3 slight,1,Thursday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2015,10,18
179,180,-0.127636,51.524395,POINT (529991.7731468453 182270.289926287),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2015,3,20
180,181,-0.141036,51.552845,POINT (528981.8300017159 185410.3468687946),3 slight,1,Thursday,9 unknown,2 30 mph,3 t/stag jun,9 unknown (s/r),9 unknown (s/r),2 dark,9 unknown,9 unknown (s/r),9 unknown (s/r),9 unknown (s/r),2016,10,20
181,182,-0.136637,51.52283,POINT (529371.8108225623 182080.3169071347),3 slight,1,Sunday,2 one-way st,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,1,14
182,183,-0.126247,51.523114,POINT (530091.7750515596 182130.3045138357),2 serious,1,Tuesday,3 dual cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,1,19
183,184,-0.136066,51.522695,POINT (529411.8045545295 182066.3132549042),3 slight,1,Wednesday,2 one-way st,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,4 roadworks,0 none,2019,4,14
184,185,-0.142266,51.540365,POINT (528931.8047118864 184020.3507771528),3 slight,1,Wednesday,2 one-way st,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,8,14
185,186,-0.170279,51.539456,POINT (526991.7617356374 183870.3078663225),3 slight,1,Wednesday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,12,15
186,187,-0.119846,51.526977,POINT (530524.782387841 182571.274297405),3 slight,1,Friday,2 one-way st,2 30 mph,3 t/stag jun,2 auto sig,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,5,2
187,188,-0.16164,51.55344,POINT (527551.767501538 185440.411520587),2 serious,1,Thursday,2 one-way st,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2016,1,16
188,189,-0.143282,51.558267,POINT (528810.8169346591 186009.3424901413),2 serious,1,Saturday,6 single cwy,2 30 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,6,19
189,190,-0.138636,51.528266,POINT (529217.7586834021 182681.2917578039),3 slight,1,Thursday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,9 unknown (s/r),2 other object in cwy,2019,5,12
190,191,-0.125552,51.522473,POINT (530141.8141126868 182060.2578102328),3 slight,1,Wednesday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,2 dark,2 raining,2 road-wet,0 none,0 none,2018,1,18
191,192,-0.130858,51.527369,POINT (529759.8166372309 182595.2955896335),3 slight,2,Wednesday,3 dual cwy,2 30 mph,6 crossroads,2 auto sig,4 pelican or similar,1 daylight,1 fine,2 road-wet,0 none,0 none,2019,10,8
192,193,-0.183289,51.550602,POINT (526058.7761617999 185087.3125976449),3 slight,1,Wednesday,3 dual cwy,3 40 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,11,9
193,194,-0.118951,51.528753,POINT (530581.7869766746 182770.3676193357),3 slight,1,Wednesday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,4,14
194,195,-0.179084,51.560906,POINT (526321.7816796766 186240.4176685072),3 slight,1,Sunday,6 single cwy,2 30 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,6,13
195,197,-0.127747,51.528713,POINT (529971.7863508773 182750.2706709594),3 slight,1,Thursday,6 single cwy,2 30 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2015,10,18
196,198,-0.164782,51.554208,POINT (527331.8038253458 185520.3467815266),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,2 raining,2 road-wet,0 none,0 none,2017,11,17
197,199,-0.174596,51.557688,POINT (526641.7957641487 185890.3148613491),3 slight,2,Thursday,6 single cwy,2 30 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,2 road-wet,0 none,0 none,2016,6,9
198,200,-0.141729,51.546471,POINT (528951.7943318142 184700.309599772),3 slight,1,Wednesday,6 single cwy,2 30 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2017,8,17
199,201,-0.125213,51.541263,POINT (530111.7882971175 184150.3796918145),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,8 other,2 road-wet,0 none,0 none,2015,3,18
200,202,-0.150899,51.555069,POINT (528291.8125286415 185640.3336818118),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,4 pelican or similar,2 dark,1 fine,1 road-dry,0 none,0 none,2015,12,15
201,203,-0.126597,51.518084,POINT (530081.8154688275 181570.3285820707),3 slight,1,Saturday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,5,16
202,204,-0.1161,51.52448,POINT (530791.7743741176 182300.2826338833),3 slight,1,Friday,3 dual cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,9 unknown (s/r),1 daylight,9 unknown,1 road-dry,9 unknown (s/r),9 unknown (s/r),2017,6,6
203,205,-0.144224,51.538328,POINT (528801.772985043 183790.3816603241),3 slight,1,Wednesday,2 one-way st,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,6,17
204,206,-0.154634,51.537287,POINT (528082.7763419051 183656.3566730203),3 slight,1,Saturday,3 dual cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,0 no xing facility in 50m,2 dark,1 fine,2 road-wet,0 none,0 none,2019,6,21
205,207,-0.141039,51.549248,POINT (528991.7880058648 185010.339524912),2 serious,1,Saturday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,8 other,1 road-dry,0 none,0 none,2016,7,1
